35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,4.5,4.5,2.25,2.25,1.125,1.125,0.5625,0.5625,0.28125,0.28125,0.140625,0.140625,0.0703125,0.0703125,0.03515625,0.03515625,0.017578125,0.017578125,0.008789063,0.008789063,0.004394531,0.004394531
8.47,-3.55,-6.08,-17.12,-8,-18.1,-9.11,-18.86,-5.03,-19.45,-6.48,-26.5,-8.8,-18.68,-6.87,-13.09,-5.88,-12.56,-4.09,-20.25,-1.58,-18.73,0,0,Pep392,ErbB3-pY823,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC
10.95,-3.57,0.88,-6.32,-3.12,-9.75,2.03,-13.68,-1.31,-10.92,-35.42,-11.36,-0.78,-6.35,2.55,-4.77,-2.81,-9.39,-5.2,-5.76,4.85,-18.14,0,0,Pep392,ErbB3-pY823,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B
14.89,90.69,1.44,74.17,5,45.79,1.84,29.64,4.07,20.51,3.54,10.44,4.44,6.03,10.73,3.44,8.61,-2.88,8.2,5.22,-13.12,-11.29,0,0,Pep392,ErbB3-pY823,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C
11.17,3.64,-3.8,7.42,-2.63,0.74,-9.08,-6.11,-34.61,-2.71,-5.56,-6.83,-28.02,-3.09,-7.47,-12.67,-4.09,-11.36,-8.63,-7.87,-1.3,-5.53,0,0,Pep392,ErbB3-pY823,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N
-4.75,4.52,-0.97,8.77,-3.92,-3.29,0.22,0.9,-1.66,-1.47,-5.79,-1.27,-6.86,-1.66,-5.33,-3.94,-7.72,2.01,-3.16,-3.65,-5.21,2.16,0,0,Pep392,ErbB3-pY823,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC
-3.27,0.5,-7.47,0.15,-3.33,-7.48,-2.42,-9.05,-0.8,-5.91,-0.75,-9.62,-5.46,-5.63,-3.13,-8.54,-0.45,-5.36,-4.54,-6.71,-1.06,-8.95,0,0,Pep392,ErbB3-pY823,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC
-3.79,-8.38,-8.42,-7.44,-5.31,-7.75,-10.53,-3.58,-2.98,-0.92,-5.87,-3.95,-11.26,-5.48,-4.74,4.95,-7.61,-1.95,-5.74,2.85,-5.91,0.43,0,0,Pep392,ErbB3-pY823,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N
0.44,23.38,-2.46,9.07,-12.15,4.69,-11.79,3.47,-5.1,6.64,-8.15,1.38,-29.4,6.15,-1.78,6.92,-5.48,3.98,-2.96,5.48,-2.85,-3.08,0,0,Pep392,ErbB3-pY823,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N 
-2.01,21.69,-7.28,19.95,-8.63,10.03,-14.88,-0.25,-11.8,1.14,-8.59,1.78,-7.39,-3.26,-19.08,1.12,-14.29,4.24,-5.79,0.38,-15.05,2.99,0,0,Pep392,ErbB3-pY823,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK
17.72,-5.62,7.51,-0.25,9.07,-3.54,7.99,1.08,-11.88,3.36,9.42,-5.8,-26.67,-1.86,14.74,4.1,14.07,4.91,14.57,1.77,16.37,-1.22,0,0,Pep392,ErbB3-pY823,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C
