274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,
126.96,139.4,149.51,152.08,145.49,145.93,142.48,155.84,145.49,144.18,148.93,144.62,138.14,142.71,148.79,141.4,151.16,148.93,149.39,143.83,144.01,140.77,149.08,146.43,Pep98,ErbB4-pY984-18mer,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,
155.45,151.04,147.32,158.32,151.23,148.87,146.12,141.8,150.69,151.22,149.68,142.32,147.39,145.61,148.71,149.02,152.21,147.66,152.07,151.92,146.17,156.1,142.69,140.87,Pep98,ErbB4-pY984-18mer,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,
151.88,151.29,144.64,145.2,148.29,138.93,149.49,146.34,149.89,149.47,147.57,145.96,139.67,152.98,154.22,151.64,149.12,145.77,144.08,145.11,146.71,143.55,147.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.58,207.47,194.31,192.23,174.57,179.39,177.91,168.58,172.51,169.25,174.71,153.14,165.97,150.77,165.28,156.38,167.6,164.59,170.88,160.94,169.13,172.92,164.21,167.98,Pep122,ErbB4-pY1150-18mer,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,
222.22,148.87,199.67,147.88,191.32,154.24,175.42,192.17,172.53,174.92,163.77,176.33,160.75,170.99,167.83,160.82,165.28,163.12,165.4,171.04,168.01,164.74,168.06,160.27,Pep122,ErbB4-pY1150-18mer,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,
200.02,220.76,185.87,215.79,168.6,190.58,174.2,183.38,162.88,174.91,164.46,165.52,161.04,162.35,172.57,163.17,168.39,166.46,155.07,164.5,171.62,160.72,166.19,160.07,Pep122,ErbB4-pY1150-18mer,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,
172.49,164.62,169.27,172.27,169.76,174.13,173.1,169.97,166.18,170.29,168.14,166.77,159.18,162.43,168.66,170.46,165.08,161.51,168.24,166.54,169.89,168.17,158.8,158.77,Pep122,ErbB4-pY1150-18mer,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,
166.57,212.27,160.49,193.46,163.44,172.2,148.16,166.68,159.6,161.35,170.34,164.86,164.31,160.53,159.4,160.1,160.05,165.06,157.81,171.03,167.39,165.98,164.85,159.22,Pep122,ErbB4-pY1150-18mer,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,
187.34,164.56,174.13,167.87,176.65,163.78,169.12,150.72,158.42,165.9,167.21,159.21,162.11,167.72,159.43,159.77,165.95,160.94,167.67,170.74,165.15,164.33,161.54,160.83,Pep122,ErbB4-pY1150-18mer,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,
220.34,245.22,208.78,252.6,175.72,243.46,176.44,245.65,175.83,237.61,166.17,226.73,164.64,207.72,163.78,186.13,162.54,173.77,160.57,169.78,160.88,156.96,163.95,173.3,Pep122,ErbB4-pY1150-18mer,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,
222.18,164.21,210.49,166.98,186.33,154.39,180.79,157.66,171.71,165.72,166.12,164.59,163.15,164.71,161.7,157.97,169.53,157.95,162.87,165.27,165.44,158.68,164.23,151.27,Pep122,ErbB4-pY1150-18mer,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,
164.03,219.05,138.74,154.9,158.22,189.46,154.15,179.38,156.07,166.33,158.81,167.72,169.82,163.96,156.14,159.27,167.79,162.3,156.97,158.4,164.72,158.72,157.78,156.96,Pep122,ErbB4-pY1150-18mer,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,
146.07,173.53,149.43,139.98,162.73,166.08,167.13,166.48,162.82,165.74,167.13,156.73,170.35,152.59,166.5,160.94,159.9,158.76,156.27,165.73,162.94,161.87,166.38,160.98,Pep122,ErbB4-pY1150-18mer,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,
180.07,159.81,167.54,165.31,156.56,162.13,160.16,167.84,161.79,165.62,164.02,164.49,159.66,160.52,161.85,155.43,169.03,169.05,163,161.39,159.37,163.96,167.56,165.55,Pep122,ErbB4-pY1150-18mer,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,
210.33,159.8,202.05,159.38,183.4,162.31,163.92,166.24,166.52,167.17,161.63,170.92,162.52,164.53,163.69,162.65,166.26,163.73,160.71,165.64,164.07,162.48,160.73,153.63,Pep122,ErbB4-pY1150-18mer,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,
