306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,
143.49,157.84,137.72,158.31,155.97,156.56,146.74,162.85,152.91,144.86,152.23,145.01,142.38,150.21,140.42,154.35,147.66,155.46,145.17,159.19,148.13,159.23,164.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.46,154.3,193.75,156.33,143.34,164.32,173.88,162.58,174.1,164.79,160.29,159.02,153.79,161.88,160.03,167.55,165.68,166.36,162.35,155.57,169.09,164.83,151.49,163.3,Pep122,ErbB4-pY1150-18mer,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,
170.16,156.13,171.98,165.42,160.86,170.13,154.97,167.86,165.67,163.02,161.25,161.17,154.2,162,162.43,165.3,165.15,158.82,169.65,161.3,168.87,158.8,152.48,162.61,Pep122,ErbB4-pY1150-18mer,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,,
187.18,230.45,182.9,222.06,166.73,209.43,141.82,198.62,165.71,182.22,157.2,172.09,140.74,167.46,140.05,163.46,141.18,168.02,134.45,162.85,153.35,155.2,152.67,159.13,Pep122,ErbB4-pY1150-18mer,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,
159.09,164.7,157.45,158.03,156.97,167.51,163.8,157.62,158.04,162.31,164.4,159.17,153.75,154.71,159.16,155.36,158.76,158.98,159.56,161.19,158.06,159.91,158.28,166.31,Pep122,ErbB4-pY1150-18mer,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,
208.81,145.63,171.11,153.85,157.64,165.56,154.69,161.08,138.83,159.84,138.67,155.33,136.16,163.74,142.66,155.14,147.88,156.92,162.66,159.58,145.73,163.25,146.51,161.43,Pep122,ErbB4-pY1150-18mer,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,
242.24,202.45,227.42,180.19,216.45,160.7,206.2,157.75,195.43,156.02,181.75,166.46,172.38,164.72,161,162.67,156.49,157.65,163.83,163.68,172.78,160.52,165.98,156.25,Pep122,ErbB4-pY1150-18mer,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,
196.58,156.01,141.82,151.42,140.13,154.59,143.11,154.39,144.05,152.85,143.2,157.61,140.65,159.31,144.31,159.21,139.74,162.27,129.86,158.89,142.27,153.24,155.82,154.34,Pep122,ErbB4-pY1150-18mer,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,
174.74,221.87,163.28,220.62,160.61,195.28,161.6,195.09,161.98,178.92,150.47,162.83,157.16,163.99,153.62,163.42,157.98,157.73,159.67,160.89,156.67,159.3,154.85,145.37,Pep122,ErbB4-pY1150-18mer,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,,
216.7,151.87,196.99,162.95,179.77,154.08,178.46,158.52,142.25,158.34,139.15,159.07,143.5,162.52,141.62,159.53,144.37,153.95,142.24,161.71,143.76,157.25,141.66,158.33,Pep122,ErbB4-pY1150-18mer,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,,
165.07,160.67,159.97,146.72,155.1,157.48,154.67,156.7,160.26,156.47,160.95,165.36,158.4,156.76,153.9,170.8,166.53,158.2,159.67,157.66,158.03,158.99,163.21,150.98,Pep122,ErbB4-pY1150-18mer,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,,
177.34,230.79,178.91,232.18,139.09,234.58,156.16,220.9,160.34,223.42,136.89,210.9,144.59,194.69,144.9,183.43,142.88,169.64,135.14,165.56,166.53,161.69,137.89,159.97,Pep122,ErbB4-pY1150-18mer,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,,
